2025-04-14 16:38:27 - Розпочато рейс. Призначення: Дніпро, Водій: Іван, Автомобіль: КамАЗ, Вантаж: Cargo(type=зерно, quantity=7000)
2025-04-14 16:41:15 - Розпочато рейс. Призначення: Львів, Водій: Петро, Автомобіль: Газель, Вантаж: Cargo(type=цемент, quantity=2000)
2025-04-14 16:41:15 - Рейс завершено. Призначення: Львів, Водій: Петро, Автомобіль: Газель, Стан авто після рейсу: справний, Оплата: 20000.0
2025-04-14 16:41:15 - Розпочато рейс. Призначення: Харків, Водій: Петро, Автомобіль: КамАЗ, Вантаж: Cargo(type=цемент, quantity=1500)
2025-04-14 16:41:15 - Рейс завершено. Призначення: Харків, Водій: Петро, Автомобіль: КамАЗ, Стан авто після рейсу: справний, Оплата: 15000.0
2025-04-14 16:42:15 - Розпочато рейс. Призначення: Дніпро, Водій: Іван, Автомобіль: КамАЗ, Вантаж: Cargo(type=зерно, quantity=7000)
2025-04-14 16:42:15 - Рейс завершено. Призначення: Дніпро, Водій: Іван, Автомобіль: КамАЗ, Стан авто після рейсу: зламаний, Оплата: 70000.0
2025-04-14 16:42:15 - Розпочато рейс. Призначення: Київ, Водій: Іван, Автомобіль: КамАЗ, Вантаж: Cargo(type=зерно, quantity=5000)
2025-04-14 16:42:15 - Розпочато рейс. Призначення: Київ, Водій: Іван, Автомобіль: КамАЗ, Вантаж: Cargo(type=зерно, quantity=5000)
2025-04-14 16:42:15 - Рейс завершено. Призначення: Київ, Водій: Іван, Автомобіль: КамАЗ, Стан авто після рейсу: справний, Оплата: 50000.0
2025-04-14 16:42:15 - Розпочато рейс. Призначення: Львів, Водій: Петро, Автомобіль: Газель, Вантаж: Cargo(type=цемент, quantity=2000)
2025-04-14 16:42:15 - Рейс завершено. Призначення: Львів, Водій: Петро, Автомобіль: Газель, Стан авто після рейсу: справний, Оплата: 20000.0
2025-04-14 16:42:15 - Розпочато рейс. Призначення: Харків, Водій: Петро, Автомобіль: КамАЗ, Вантаж: Cargo(type=цемент, quantity=1500)
2025-04-14 16:42:15 - Рейс завершено. Призначення: Харків, Водій: Петро, Автомобіль: КамАЗ, Стан авто після рейсу: справний, Оплата: 15000.0
2025-04-14 16:44:30 - Розпочато рейс. Призначення: Дніпро, Водій: Іван, Автомобіль: КамАЗ, Вантаж: Cargo(type=зерно, quantity=7000)
2025-04-14 16:44:30 - Рейс завершено. Призначення: Дніпро, Водій: Іван, Автомобіль: КамАЗ, Стан авто після рейсу: зламаний, Оплата: 70000.0
2025-04-14 16:44:30 - Розпочато рейс. Призначення: Київ, Водій: Іван, Автомобіль: КамАЗ, Вантаж: Cargo(type=зерно, quantity=5000)
2025-04-14 16:44:30 - Розпочато рейс. Призначення: Київ, Водій: Іван, Автомобіль: КамАЗ, Вантаж: Cargo(type=зерно, quantity=5000)
2025-04-14 16:44:30 - Рейс завершено. Призначення: Київ, Водій: Іван, Автомобіль: КамАЗ, Стан авто після рейсу: справний, Оплата: 50000.0
2025-04-14 16:44:30 - Розпочато рейс. Призначення: Львів, Водій: Петро, Автомобіль: Газель, Вантаж: Cargo(type=цемент, quantity=2000)
2025-04-14 16:44:30 - Рейс завершено. Призначення: Львів, Водій: Петро, Автомобіль: Газель, Стан авто після рейсу: справний, Оплата: 20000.0
2025-04-14 16:44:30 - Розпочато рейс. Призначення: Харків, Водій: Петро, Автомобіль: КамАЗ, Вантаж: Cargo(type=цемент, quantity=1500)
2025-04-14 16:44:30 - Рейс завершено. Призначення: Харків, Водій: Петро, Автомобіль: КамАЗ, Стан авто після рейсу: справний, Оплата: 15000.0
2025-04-14 16:50:24 - Розпочато рейс. Призначення: Дніпро, Водій: Іван, Автомобіль: КамАЗ, Вантаж: Cargo(type=зерно, quantity=7000)
2025-04-14 16:50:24 - Рейс завершено. Призначення: Дніпро, Водій: Іван, Автомобіль: КамАЗ, Стан авто після рейсу: зламаний, Оплата: 70000.0
2025-04-14 16:50:24 - Розпочато рейс. Призначення: Київ, Водій: Іван, Автомобіль: КамАЗ, Вантаж: Cargo(type=зерно, quantity=5000)
2025-04-14 16:50:24 - Розпочато рейс. Призначення: Київ, Водій: Іван, Автомобіль: КамАЗ, Вантаж: Cargo(type=зерно, quantity=5000)
2025-04-14 16:50:24 - Рейс завершено. Призначення: Київ, Водій: Іван, Автомобіль: КамАЗ, Стан авто після рейсу: справний, Оплата: 50000.0
2025-04-14 16:50:24 - Розпочато рейс. Призначення: Львів, Водій: Петро, Автомобіль: Газель, Вантаж: Cargo(type=цемент, quantity=2000)
2025-04-14 16:50:24 - Рейс завершено. Призначення: Львів, Водій: Петро, Автомобіль: Газель, Стан авто після рейсу: справний, Оплата: 20000.0
2025-04-14 16:50:24 - Розпочато рейс. Призначення: Харків, Водій: Петро, Автомобіль: КамАЗ, Вантаж: Cargo(type=цемент, quantity=1500)
2025-04-14 16:50:24 - Рейс завершено. Призначення: Харків, Водій: Петро, Автомобіль: КамАЗ, Стан авто після рейсу: справний, Оплата: 15000.0
2025-04-14 16:52:04 - Розпочато рейс. Призначення: Дніпро, Водій: Іван, Автомобіль: КамАЗ, Вантаж: Cargo(type=зерно, quantity=7000)
2025-04-14 16:52:04 - Рейс завершено. Призначення: Дніпро, Водій: Іван, Автомобіль: КамАЗ, Стан авто після рейсу: зламаний, Оплата: 70000.0
2025-04-14 16:52:04 - Розпочато рейс. Призначення: Київ, Водій: Іван, Автомобіль: КамАЗ, Вантаж: Cargo(type=зерно, quantity=5000)
2025-04-14 16:52:04 - Розпочато рейс. Призначення: Київ, Водій: Іван, Автомобіль: КамАЗ, Вантаж: Cargo(type=зерно, quantity=5000)
2025-04-14 16:52:04 - Рейс завершено. Призначення: Київ, Водій: Іван, Автомобіль: КамАЗ, Стан авто після рейсу: справний, Оплата: 50000.0
2025-04-14 16:52:04 - Розпочато рейс. Призначення: Львів, Водій: Петро, Автомобіль: Газель, Вантаж: Cargo(type=цемент, quantity=2000)
2025-04-14 16:52:04 - Рейс завершено. Призначення: Львів, Водій: Петро, Автомобіль: Газель, Стан авто після рейсу: справний, Оплата: 20000.0
2025-04-14 16:52:04 - Розпочато рейс. Призначення: Харків, Водій: Петро, Автомобіль: КамАЗ, Вантаж: Cargo(type=цемент, quantity=1500)
2025-04-14 16:52:04 - Рейс завершено. Призначення: Харків, Водій: Петро, Автомобіль: КамАЗ, Стан авто після рейсу: справний, Оплата: 15000.0
2025-04-14 16:53:09 - Розпочато рейс. Призначення: Дніпро, Водій: Іван, Автомобіль: КамАЗ, Вантаж: Cargo(type=зерно, quantity=7000)
2025-04-14 16:53:09 - Рейс завершено. Призначення: Дніпро, Водій: Іван, Автомобіль: КамАЗ, Стан авто після рейсу: зламаний, Оплата: 70000.0
2025-04-14 16:53:09 - Розпочато рейс. Призначення: Київ, Водій: Іван, Автомобіль: КамАЗ, Вантаж: Cargo(type=зерно, quantity=5000)
2025-04-14 16:53:09 - Розпочато рейс. Призначення: Київ, Водій: Іван, Автомобіль: КамАЗ, Вантаж: Cargo(type=зерно, quantity=5000)
2025-04-14 16:53:09 - Рейс завершено. Призначення: Київ, Водій: Іван, Автомобіль: КамАЗ, Стан авто після рейсу: справний, Оплата: 50000.0
2025-04-14 16:53:09 - Розпочато рейс. Призначення: Львів, Водій: Петро, Автомобіль: Газель, Вантаж: Cargo(type=цемент, quantity=2000)
2025-04-14 16:53:09 - Рейс завершено. Призначення: Львів, Водій: Петро, Автомобіль: Газель, Стан авто після рейсу: справний, Оплата: 20000.0
2025-04-14 16:53:09 - Розпочато рейс. Призначення: Харків, Водій: Петро, Автомобіль: КамАЗ, Вантаж: Cargo(type=цемент, quantity=1500)
2025-04-14 16:53:09 - Рейс завершено. Призначення: Харків, Водій: Петро, Автомобіль: КамАЗ, Стан авто після рейсу: справний, Оплата: 15000.0
2025-04-14 16:54:08 - Розпочато рейс. Призначення: Дніпро, Водій: Іван, Автомобіль: КамАЗ, Вантаж: Cargo(type=зерно, quantity=7000)
2025-04-14 16:54:08 - Рейс завершено. Призначення: Дніпро, Водій: Іван, Автомобіль: КамАЗ, Стан авто після рейсу: зламаний, Оплата: 70000.0
2025-04-14 16:54:08 - Розпочато рейс. Призначення: Київ, Водій: Іван, Автомобіль: КамАЗ, Вантаж: Cargo(type=зерно, quantity=5000)
2025-04-14 16:54:08 - Розпочато рейс. Призначення: Київ, Водій: Іван, Автомобіль: КамАЗ, Вантаж: Cargo(type=зерно, quantity=5000)
2025-04-14 16:54:08 - Рейс завершено. Призначення: Київ, Водій: Іван, Автомобіль: КамАЗ, Стан авто після рейсу: справний, Оплата: 50000.0
2025-04-14 16:54:08 - Розпочато рейс. Призначення: Львів, Водій: Петро, Автомобіль: Газель, Вантаж: Cargo(type=цемент, quantity=2000)
2025-04-14 16:54:08 - Рейс завершено. Призначення: Львів, Водій: Петро, Автомобіль: Газель, Стан авто після рейсу: справний, Оплата: 20000.0
2025-04-14 16:54:08 - Розпочато рейс. Призначення: Харків, Водій: Петро, Автомобіль: КамАЗ, Вантаж: Cargo(type=цемент, quantity=1500)
2025-04-14 16:54:08 - Рейс завершено. Призначення: Харків, Водій: Петро, Автомобіль: КамАЗ, Стан авто після рейсу: справний, Оплата: 15000.0
2025-04-14 16:55:08 - Розпочато рейс. Призначення: Дніпро, Водій: Іван, Автомобіль: КамАЗ, Вантаж: Cargo(type=зерно, quantity=7000)
2025-04-14 16:55:08 - Рейс завершено. Призначення: Дніпро, Водій: Іван, Автомобіль: КамАЗ, Стан авто після рейсу: зламаний, Оплата: 70000.0
2025-04-14 16:55:08 - Розпочато рейс. Призначення: Київ, Водій: Іван, Автомобіль: КамАЗ, Вантаж: Cargo(type=зерно, quantity=5000)
2025-04-14 16:55:08 - Розпочато рейс. Призначення: Львів, Водій: Олег, Автомобіль: КамАЗ, Вантаж: Cargo(type=цегла, quantity=3000)
2025-04-14 16:55:08 - Заявка на ремонт. Рейс: Львів, Водій: Олег, Автомобіль: КамАЗ
2025-04-14 16:55:08 - Розпочато рейс. Призначення: Київ, Водій: Іван, Автомобіль: КамАЗ, Вантаж: Cargo(type=зерно, quantity=5000)
2025-04-14 16:55:08 - Рейс завершено. Призначення: Київ, Водій: Іван, Автомобіль: КамАЗ, Стан авто після рейсу: справний, Оплата: 50000.0
2025-04-14 16:55:08 - Розпочато рейс. Призначення: Львів, Водій: Петро, Автомобіль: Газель, Вантаж: Cargo(type=цемент, quantity=2000)
2025-04-14 16:55:08 - Рейс завершено. Призначення: Львів, Водій: Петро, Автомобіль: Газель, Стан авто після рейсу: справний, Оплата: 20000.0
2025-04-14 16:55:08 - Розпочато рейс. Призначення: Харків, Водій: Петро, Автомобіль: КамАЗ, Вантаж: Cargo(type=цемент, quantity=1500)
2025-04-14 16:55:08 - Рейс завершено. Призначення: Харків, Водій: Петро, Автомобіль: КамАЗ, Стан авто після рейсу: справний, Оплата: 15000.0
2025-04-14 17:00:38 - Розпочато рейс. Призначення: Дніпро, Водій: Іван, Автомобіль: КамАЗ, Вантаж: Cargo(type=зерно, quantity=7000)
2025-04-14 17:00:38 - Рейс завершено. Призначення: Дніпро, Водій: Іван, Автомобіль: КамАЗ, Стан авто після рейсу: зламаний, Оплата: 70000.0
2025-04-14 17:00:38 - Розпочато рейс. Призначення: Київ, Водій: Іван, Автомобіль: КамАЗ, Вантаж: Cargo(type=зерно, quantity=5000)
2025-04-14 17:00:38 - Розпочато рейс. Призначення: Львів, Водій: Олег, Автомобіль: КамАЗ, Вантаж: Cargo(type=цегла, quantity=3000)
2025-04-14 17:00:38 - Заявка на ремонт. Рейс: Львів, Водій: Олег, Автомобіль: КамАЗ
2025-04-14 17:00:38 - Розпочато рейс. Призначення: Київ, Водій: Іван, Автомобіль: КамАЗ, Вантаж: Cargo(type=зерно, quantity=5000)
2025-04-14 17:00:38 - Рейс завершено. Призначення: Київ, Водій: Іван, Автомобіль: КамАЗ, Стан авто після рейсу: справний, Оплата: 50000.0
2025-04-14 17:00:39 - Розпочато рейс. Призначення: Львів, Водій: Петро, Автомобіль: Газель, Вантаж: Cargo(type=цемент, quantity=2000)
2025-04-14 17:00:39 - Рейс завершено. Призначення: Львів, Водій: Петро, Автомобіль: Газель, Стан авто після рейсу: справний, Оплата: 20000.0
2025-04-14 17:00:39 - Розпочато рейс. Призначення: Харків, Водій: Петро, Автомобіль: КамАЗ, Вантаж: Cargo(type=цемент, quantity=1500)
2025-04-14 17:00:39 - Рейс завершено. Призначення: Харків, Водій: Петро, Автомобіль: КамАЗ, Стан авто після рейсу: справний, Оплата: 15000.0
